date_utc,channel,message_id,link,text,views,forwards,replies,is_forward,has_media,media_type
2026-06-01 12:03:21,dva_majors,93877,https://t.me/dva_majors/93877,"🎉 **Как ПОБЕДИТЬ в сегодняшней ВОЙНЕ⁉️**

[Кирилл Федоров](https://t.me/warhistoryalconafter) **в эфире ""Время покажет"" на Первом канале** кратко упомянул про ТРИ экзистенциальных вызова существования России - Великую Отечественную войну, атомную бомбу и **НЫНЕШНИЙ ВЫЗОВ.**

👉 Сейчас вызов для России - это [запустить свой аналог Starlink](https://t.me/warhistoryalconafter/264512) и создать свои алгоритмы искусственного интеллекта. Поскольку это равноценно созданию атомной бомбы в прошлом веке. Тогда мы не смогли бы существовать без ""ядерного зонтика"", а сегодня Россия нуждается в своей собственной спутниковой связи и ИИ для того, **чтобы продолжать существовать, как суверенная Держава, а не банановая республика третьего Мира.**

__Без них мы перестанем существовать, как под оккупацией немцев или под ударами атомной бомбы__.

[Развитие автоматизированных систем](https://t.me/warhistoryalconafter/271734), [искусственного интеллекта](https://t.me/warhistoryalconafter/271807) и [перенос войны в космос](https://t.me/warhistoryalconafter/271730) - это будущее, которое нельзя игнорировать и от которого будет зависеть безопасность. 

И то, что [сейчас происходит на трассе в Крым](https://t.me/warhistoryalconafter/271415), лишь первые звоночки. 

Мы не должны отставать.
**Отставания = потеря суверенитета.**

[**Не грузит? Смотри в МАХ**](https://max.ru/warhistoryalconafter)**.**

[Подписаться на канал](https://t.me/warhistoryalconafter)",92679,82,188,1,1,document
2026-06-01 12:30:29,rybar,80745,https://t.me/rybar/80745,"📝**Прощание с безвизом**📝
__Гармонизация по-сербски__

В российских СМИ поднялся переполох после заявления главы комитета сербского парламента по вопросам диаспоры Драгана Станоевича о том, что власти обсуждают **возможность отмены безвизового режима с Россией.**

На самом деле никакой сенсации здесь нет. О том, что в Брюсселе требуют от Сербии привести визовую политику в соответствие с нормами ЕС, известно давно. Еще в марте 2025 года сербский МИД официально объявил о намерении **полностью гармонизировать визовую политику страны с Евросоюзом до конца 2026 года.**

При этом давление ЕС уже давно выходит за рамки визовой темы. Сербские власти начали активнее применять правило **«90 дней в течение полугодия» **для тех, кто годами жил в стране через так называемый «визаран», а европейские кураторы требуют дальнейшего ужесточения миграционной политики в отношении россиян.

Пока никаких решений о введении виз нет, и сербское правительство традиционно старается максимально затягивать выполнение наиболее чувствительных требований Евросоюза.

📌Однако речь идёт не столько о визах, сколько о более широком процессе подготовки Сербии к полному политическому согласованию с ЕС. Вучич уже говорил, что **до конца года правительство надеется согласовать с Брюсселем все ключевые детали по внешней политике** и другим чувствительным вопросам. Поэтому отмена безвизового режима с Россией скорее вопрос времени.
#Сербия
💣 @balkanar — хроника пороховой бочки Европы

**💸**** **[Поддержать нас](https://qr.nspk.ru/BS1A0068ID10D33B9IBAQRQ4M9T0NIFN?type=01&bank=100000000008&crc=36CB)",159888,79,,1,1,photo
2026-06-01 12:34:39,dva_majors,93878,https://t.me/dva_majors/93878,"**Курская область. Губернатор:**

Сегодня в деревне 1-е Яньково Рыльского района вражеский дрон сдетонировал перед мотоциклистом. Пострадал 35-летний мужчина. У него осколочные ранения лица, груди, живота, конечностей. 

Он доставляется в больницу. 

[**Два майора**](https://t.me/dva_majors)
[**Два майора в МАХ**](https://max.ru/dva_majors)",89954,35,74,0,0,
2026-06-01 12:35:49,sashakots,62083,https://t.me/sashakots/62083,"**Европейцы перешли от морского пиратства к международному рэкету  **

Французские коммандос посреди Атлантики высаживаются на борт танкера «Тагор», который шел из Мурманска. Макрон отчитывается в соцсетях: «Вчера утром ВМС Франции задержали очередной нефтяной танкер, шедший из России… в строгом соответствии с морским правом». И добавил привычное, почти ритуальное: «Недопустимо, чтобы суда обходили международные санкции, нарушали морское право и финансировали войну, которую Россия ведёт против Украины уже более четырёх лет».

Стоит отметить — это уже пятый эпизод с участием Франции за восемь месяцев. Boracay у Сен-Назера в сентябре 2025-го отпустили, судно переименовалось в Phoenix и спокойно ушло в Китай. Grinch в Альборане в январе — отпустили после штрафа в «несколько миллионов евро». Ethera в Северном море в феврале, совместная с бельгийцами операция «Blue Intruder» — увели в Зебрюгге. Deyna из Мурманска в марте — Марсель, штраф, через месяц снова в международных водах. 

Это уже даже не пиратство, а международный рэкет. Либо плати и плыви на все четыре стороны, либо ржавей у причала.  

В январе 14 прибрежных стран Балтики и Северного моря стран подписали документ, по которому танкер без подтверждённого флага — «ничец». И задерживается без юридических рисков. «Тагор» — первое применение этой бумаги не у берега, а в открытом океане. То есть документ заработал именно так, как я и предположил в день подписания. Как лицензия на охоту по всему маршруту - от Мурманска до Гибралтара и дальше.

Очевидно, что дипломатические ноты и возмущения на пиратов 21 века влияют чуть больше, чем никак. Обвинения в адрес еврофлибустьеров - это не ответ. Ответ — это фрегат «Адмирал Григорович» в Ла-Манше 9 апреля, проведший под британским носом два танкера. Английский корабль Tide плёлся следом и на перехват не решился. 

Как только Россия проявляет силу, вся спесь с евроястребов облетает, как листва в осеннем Булонском лесу. Не надо стесняться ее демонстрировать.

Об атаке на танкер с украинским военным грузом в Черном море [читайте в моем МАКС. И подписывайтесь](https://max.ru/kots/AZ5zG7JKLWY), чтобы знать больше!

@sashakots",31119,67,,0,1,document
2026-06-01 12:47:54,dva_majors,93879,https://t.me/dva_majors/93879,"**‼️ Важно: нормы провоза жидкостей по Крымскому мосту не изменились**

В автомобиле можно перевозить до 100 литров разрешённых жидкостей сверх топлива в баке — в том числе бензин и дизельное топливо в канистрах, воду и другие жидкости.

Чтобы получать информацию без задержек, подписывайтесь на официальный канал в [MAX «КРЫМСКИЙ МОСТ: оперативная информация](https://max.ru/most_official)».",86126,185,12,1,1,photo
2026-06-01 12:50:51,rybar,80746,https://t.me/rybar/80746,"Утро началось с очередной сенсации. На перепутье балканских дорог меня настигла лавина российских публикаций о том, что Сербия так сильно хочет в ЕС, что готовится ввести для русских визы. Точнее, непременно введет их в ближайшее время.

Российские эксперты в области всего и вся обратили свой взор на наш забытый Богом регион и начали наперебой строчить свои «экспертные» комментарии на тему того, о чем слышали звон. 

Что-то более адекватное, чем набор статистических показателей от ИИ-шечки и оперирование термином «визаран», сущность которого они до конца не понимают сами, выдавить из себя эксперты не смогли. Но на основании вырванных из контекста слов и слухов про сроки гармонизации визового режима делают нелицеприятные выводы: визы будут введены непременно, окончательно и бесповоротно. И очень скоро. 

Cобытия развивались стремительно, и к моменту того, как я достигла точки назначения, сей «наброс на вентилятор» прокомментировал уже даже господин Песков, пригрозивший Сербии «симметричными мерами».  

Мы же с вами по традиции обратимся к первоисточнику и внимательно прочитаем, что же такого [рассказал](https://iz.ru/2105910/kirill-fenin/v-serbii-obsuzhdayut-otkaz-ot-bezviza-s-rf-do-konca-goda) изданию «Известия» депутат Драган Станоевич. «Есть заявления, чтобы к концу 2026-го сделать всё это. Но, насколько я знаю, всё это должно быть выполнено за полгода до вступления в ЕС. Но мы находимся еще далеко от вступления, поэтому реализация этих обязанностей тоже далеко» — сказал политик. 

Он же прямо заявил, что никакого официального заявления, директивы, документа с требованием сократить выдачу россиянам ВНЖ не поступало. Была устная критика еврочиновников в адрес сербских властей.

В общем, выдыхайте. Никакой отмены безвиза в ближайшее время не предвидится. Просто некоторым любителям хайповать лучше продолжать выкладывать рекламу финок НКВД и крема для сосков. Это у них получается куда лучше, чем игры в экспертность. 

@balkanossiper",164586,109,,1,0,
2026-06-01 13:01:09,rusich_army,29805,https://t.me/rusich_army/29805,"💬**Координация ударов по РФ через PRISMA. Что использует ГУР для ударов?****💬****
**
✍️ Противник все чаще и масштабнее применяет БпЛА. И для повышения эффективности украинская сторона активно задействует средства для упрощения поиска целей и наведения. Особенно с учетом огромного массива данных. И для этого ВСУ налаживают сотрудничество с американской компанией Palantir Technologies.

В результате была создана PRISMA (Planning, Reconnaissance, Intelligence, Strike, and Mission Analysis). Она развёрнута на командных пунктах ГУР и представляет собой надстройку Palantir Gotham с алгоритмами ИИ, адаптированными под специфику массированных налётов десятков дронов одновременно.

▪️PRISMA описывается как «мозг» дальних ударных операций. Система интегрирует несколько контуров информации:

▪️ Разведывательный контур, данные спутниковой съёмки, агентурные донесения, радиоперехваты, сведения от союзников. Всё это накладывается на единую картографическую основу.
▪️ Контур планирования, инструменты для прокладки маршрутов, расчёта топливных ограничений, синхронизации времени выхода групп дронов на цели, учёта метеоусловий.
▪️ Контрольный контур, получение телеметрии с бортовых датчиков, визуализация радиоэлектронной обстановки, логирование всех этапов миссии.

В общем виде карта позволяет создать полноценную картину налёта в реальном времени: оператор наблюдает, как иконки дронов движутся по маршрутам, и при отклонении от курса немедленно получает уведомление.

✍️ ГУР отмечает, что внедрение PRISMA позволило качественно нарастить масштаб и точность дальних ударов. Если раньше для скоординированной атаки нескольких дронов требовалось задействовать множество операторов с разрозненными пультами и голосовой координацией, то теперь один расчёт может контролировать роевой налёт, гибко реагируя на изменение обстановки.

Разумеется, это не суперпрограмма, которая все делает самостоятельно. Просто посредством этого ПО упрощается работа и планирование, поскольку машина аккумулирует статистические и технические данные воедино, а человек просто работает с этой информацией. А «Палантир» получает возможность тестирования ПО в реальных боевых условиях.

🤙[Архангел Спецназа](https://t.me/rusich_army)!

❗️🤙 [Если не грузит видео - смотрите у нас в MAX](https://max.ru/arx_spn)",246461,567,65,0,0,
2026-06-01 13:03:41,dva_majors,93881,https://t.me/dva_majors/93881,"💬**Координация ударов по РФ через PRISMA. Что использует ГУР для ударов?****💬****
**
✍️ Противник все чаще и масштабнее применяет БпЛА. И для повышения эффективности украинская сторона активно задействует средства для упрощения поиска целей и наведения. Особенно с учетом огромного массива данных. И для этого ВСУ налаживают сотрудничество с американской компанией Palantir Technologies.

В результате была создана PRISMA (Planning, Reconnaissance, Intelligence, Strike, and Mission Analysis). Она развёрнута на командных пунктах ГУР и представляет собой надстройку Palantir Gotham с алгоритмами ИИ, адаптированными под специфику массированных налётов десятков дронов одновременно.

▪️PRISMA описывается как «мозг» дальних ударных операций. Система интегрирует несколько контуров информации:

▪️ Разведывательный контур, данные спутниковой съёмки, агентурные донесения, радиоперехваты, сведения от союзников. Всё это накладывается на единую картографическую основу.
▪️ Контур планирования, инструменты для прокладки маршрутов, расчёта топливных ограничений, синхронизации времени выхода групп дронов на цели, учёта метеоусловий.
▪️ Контрольный контур, получение телеметрии с бортовых датчиков, визуализация радиоэлектронной обстановки, логирование всех этапов миссии.

В общем виде карта позволяет создать полноценную картину налёта в реальном времени: оператор наблюдает, как иконки дронов движутся по маршрутам, и при отклонении от курса немедленно получает уведомление.

✍️ ГУР отмечает, что внедрение PRISMA позволило качественно нарастить масштаб и точность дальних ударов. Если раньше для скоординированной атаки нескольких дронов требовалось задействовать множество операторов с разрозненными пультами и голосовой координацией, то теперь один расчёт может контролировать роевой налёт, гибко реагируя на изменение обстановки.

Разумеется, это не суперпрограмма, которая все делает самостоятельно. Просто посредством этого ПО упрощается работа и планирование, поскольку машина аккумулирует статистические и технические данные воедино, а человек просто работает с этой информацией. А «Палантир» получает возможность тестирования ПО в реальных боевых условиях.

🤙[Архангел Спецназа](https://t.me/rusich_army)!

❗️🤙 [Если не грузит видео - смотрите у нас в MAX](https://max.ru/arx_spn)",94511,220,104,1,0,
2026-06-01 13:11:06,sashakots,62084,https://t.me/sashakots/62084,"**Засади врагу в пикап**

Дроноводы вашего любимого подразделения спецназа «Вега», бьющего врага на добропольском направлении, продолжают радовать годным контентом. В сегодняшнюю подборку объективного контроля их боевой работы попали кадры уничтожения САУ, БТР, багги, живой силы, четырех НРТК и пяти пикапов.

Последние в нынешних реалиях войны являются основной «рабочей лошадкой» пехоты в прифронтовой зоне, причем с обеих сторон. Тяжелую технику – танки, БМП, мотолыги, грузовики – у передка сегодня встретишь нечасто. Уж слишком она заметна с воздуха. А внедорожники и пикапы обладают хорошей проходимостью и высокими скоростными характеристиками. Последнее, впрочем, далеко не всегда спасает машину от дрона, которым управляет опытный оператор.

Не всегда спасает и РЭБ. Часть пикапов, уничтоженных на видео, буквально увешены антеннами-глушилками. Но дроноводам «Веги», очевидно, помехи не страшны.

Предыдущая подборка боевой работы «Веги» - [в моем канале](https://max.ru/kots/AZ5vX74RIF0) в МАКС.

@sashakots",45771,23,,0,1,document
2026-06-01 13:15:34,dva_majors,93882,https://t.me/dva_majors/93882,"**Брянская область, врио губернатора:**

ВСУ атаковали FPV-дроном территорию свинокомплекса АПХ «Мираторг» в Климовском районе. Ранения получил работник  предприятия, он доставлен в больницу.

В селе Андрейковичи Погарского  района в результате атаки FPV-дроном ранены две женщины, им оказана медицинская помощь.

В селе Старая Гута Унечского района БпЛА атаковали электропоезд. Осколочные ранения и закрытую черепно-мозговую травму получил помощник машиниста. Он госпитализирован в Брянскую областную больницу.

[**Два майора**](https://t.me/dva_majors)** ****✨****  **[**Два майора в МАХ**](https://max.ru/dva_majors)",93389,84,8,0,0,
